Player,Count,MVP_Won,AVG_Minutes_Per_Game,AVG_Points_Per_Game,AVG_Total_Rebounds_Per_Game,AVG_Assists_Per_Game,AVG_Steals_Per_Game,AVG_blocks_Per_Game,AVG_Field_Goal_Percentage,AVG_3-Points_Field_Goal_Percentage,AVG_Free_Throw_Percentage,AVG_Win_Shares,AVG_Win_Shares_Per_48_Minutes
Jamal Mashburn,1,0,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,9.0,0.13
Ray Allen,2,0,38.75,22.95,4.800000000000001,4.15,1.3,0.15000000000000002,0.45399999999999996,0.40449999999999997,0.8855,12.2,0.1895
Draymond Green,1,0,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
Russell Westbrook,8,1,35.3,25.0625,8.5375,9.375,1.7874999999999999,0.33749999999999997,0.43949999999999995,0.31,0.7704999999999999,9.725000000000001,0.17675000000000002
LeBron James,20,4,37.8,26.974999999999994,7.514999999999998,7.409999999999999,1.52,0.7449999999999999,0.50725,0.34720000000000006,0.7335999999999999,12.870000000000001,0.22375000000000006
Donovan Mitchell,2,0,33.599999999999994,26.15,4.4,4.7,1.4,0.30000000000000004,0.4635,0.377,0.845,8.25,0.16949999999999998
Isaiah Thomas,1,0,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234
Anthony Mason,1,0,40.7,16.1,9.6,3.1,1.0,0.3,0.482,,0.781,11.6,0.171
De'Aaron Fox,1,0,33.4,25.0,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146
Michael Finley,1,0,42.0,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119
Amar'e Stoudemire,5,0,34.839999999999996,24.0,8.94,1.5399999999999998,0.86,1.5799999999999998,0.5566000000000001,0.1902,0.7764,11.819999999999999,0.2042
Gary Payton,1,0,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183
Michael Redd,1,0,36.8,21.7,5.0,2.3,1.0,0.1,0.44,0.35,0.868,9.7,0.154
Blake Griffin,3,0,36.333333333333336,22.833333333333332,9.733333333333334,4.333333333333333,0.9666666666666668,0.5333333333333333,0.512,0.3216666666666667,0.695,10.333333333333334,0.18000000000000002
Devin Booker,1,0,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156
Chris Paul,11,0,34.563636363636355,18.44545454545455,4.3545454545454545,9.863636363636363,2.1999999999999997,0.16363636363636364,0.48254545454545456,0.36672727272727274,0.8792727272727272,13.190909090909093,0.25181818181818183
Al Jefferson,1,0,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
Shai Gilgeous-Alexander,3,1,34.56666666666667,31.399999999999995,5.1000000000000005,6.033333333333334,1.7666666666666666,0.9666666666666667,0.5213333333333333,0.35766666666666663,0.8923333333333333,14.233333333333334,0.27
David Lee,1,0,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0.0,0.797,9.1,0.15
Brandon Roy,1,0,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223
Derrick Rose,3,1,32.76666666666666,20.5,3.3666666666666667,6.6000000000000005,0.9666666666666667,0.5666666666666665,0.45,0.34400000000000003,0.8453333333333334,7.400000000000001,0.17899999999999996
John Wall,1,0,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149
Michael Jordan,1,0,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075
Rajon Rondo,2,0,37.05,11.25,4.6,11.45,2.05,0.15000000000000002,0.4615,0.2355,0.5825,5.75,0.1235
Tracy McGrady,6,0,38.56666666666666,26.066666666666666,6.416666666666667,5.583333333333333,1.4666666666666668,0.8333333333333334,0.441,0.3423333333333333,0.7398333333333335,11.033333333333333,0.18300000000000002
Rasheed Wallace,1,0,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155
David Robinson,1,0,29.6,14.4,8.6,1.5,1.0,2.5,0.486,0.0,0.747,12.1,0.246
Chris Bosh,2,0,37.3,23.3,10.75,2.45,0.6,1.15,0.507,0.35350000000000004,0.791,9.6,0.178
Tony Parker,7,0,32.47142857142857,18.9,2.9857142857142853,6.542857142857144,0.9285714285714286,0.08571428571428572,0.5134285714285715,0.32942857142857146,0.7851428571428573,8.32857142857143,0.17171428571428574
Rudy Gobert,2,0,31.3,15.100000000000001,13.2,1.65,0.7,2.5,0.672,0.0,0.6295,12.850000000000001,0.258
Shaquille O'Neal,6,0,35.449999999999996,24.183333333333337,10.633333333333335,2.9,0.5000000000000001,2.2333333333333334,0.5835,0.0,0.5105000000000001,10.833333333333334,0.2131666666666667
Chris Webber,3,0,39.333333333333336,24.866666666666664,10.566666666666668,4.8,1.5333333333333332,1.4666666666666668,0.4789999999999999,0.19066666666666665,0.6863333333333332,8.833333333333334,0.171
Mike Bibby,1,0,33.2,13.7,2.8,5.0,1.1,0.2,0.453,0.37,0.803,6.3,0.113
