points_share,VORP,PER,FG,2P,DWS,USG%,WS/48,WS,PTS,FTA
0.0,1.7,15.9,5.8,3.0,1.8,21.7,0.15,6.6,17.1,3.1
0.0,1.3,20.9,3.0,2.9,1.7,21.7,0.168,3.5,6.8,1.1
0.0,0.0,2.9,0.3,0.3,0.0,20.0,-0.083,0.0,1.3,0.7
0.056,5.5,24.4,6.7,5.2,2.9,24.2,0.211,10.7,18.5,4.2
0.0,4.2,20.6,7.4,4.5,2.0,27.4,0.15,8.6,22.1,5.3
0.0,-0.1,10.9,0.7,0.7,0.3,8.8,0.094,0.4,1.5,0.1
0.0,0.2,16.4,1.6,1.6,0.6,13.2,0.15,1.8,4.2,1.5
0.0,-0.3,9.0,1.2,0.7,0.3,16.2,0.028,0.3,3.2,0.5
0.0,2.7,17.4,5.9,4.5,2.6,25.6,0.08,4.0,17.2,4.6
0.0,-0.2,5.5,1.0,0.4,0.1,26.1,-0.08,-0.2,2.5,0.1
0.0,0.2,13.6,2.5,1.1,0.3,19.0,0.077,0.5,6.7,0.6
0.0,0.5,15.9,5.5,4.3,0.9,27.1,0.078,2.0,14.6,3.0
0.0,-0.2,14.1,2.2,2.2,1.8,14.9,0.094,2.9,5.7,1.9
0.0,-0.1,5.4,0.5,0.4,0.1,15.8,-0.047,-0.1,1.1,0.1
0.0,0.1,11.9,1.7,1.2,0.6,18.3,0.086,0.9,4.5,0.9
0.0,-0.3,0.9,2.4,2.2,0.1,21.7,-0.171,-0.4,5.8,1.8
0.0,-0.1,6.9,1.4,1.2,0.0,26.4,-0.071,-0.1,3.4,0.6
0.0,0.8,13.6,5.3,3.6,3.2,21.4,0.1,4.5,14.5,3.3
0.0,0.0,7.6,0.3,0.0,0.2,5.2,0.087,0.3,0.8,0.1
0.0,-0.1,4.8,0.9,0.6,0.2,12.2,-0.014,-0.1,2.4,0.5
0.0,-0.2,10.0,2.6,1.3,0.4,20.0,0.02,0.4,7.2,1.1
0.0,-0.3,8.1,2.7,1.9,1.3,15.9,0.04,1.0,6.8,0.8
0.0,0.5,13.0,2.7,1.7,1.3,20.4,0.078,2.2,6.9,0.5
0.0,-0.3,11.1,2.8,2.0,1.5,18.1,0.023,0.7,7.7,2.2
0.0,0.0,19.7,1.9,1.9,0.0,19.8,0.182,0.3,5.7,2.7
0.0,0.8,16.5,5.2,4.7,1.4,21.9,0.075,2.8,12.7,2.7
0.0,-0.7,12.2,1.8,1.8,1.4,15.6,0.093,2.2,4.8,1.7
0.0,-0.5,10.0,2.5,1.0,0.9,17.5,0.059,1.7,7.3,0.8
0.0,0.1,13.0,2.6,1.5,0.9,20.2,0.089,2.5,8.4,2.4
0.0,0.1,27.1,1.3,1.3,0.0,13.7,0.312,0.2,3.3,0.7
0.0,-0.1,9.8,1.3,1.0,0.2,16.8,0.041,0.2,3.0,0.4
0.0,-0.2,7.3,0.7,0.3,0.2,8.1,0.04,0.3,2.0,0.3
0.0,-0.1,8.8,1.0,0.4,0.4,10.2,0.058,0.8,3.2,0.7
0.0,-0.1,-1.2,0.5,0.3,0.0,12.8,-0.063,0.0,1.3,0.0
0.0,0.0,39.8,1.0,1.0,0.0,22.3,0.425,0.0,2.0,0.0
0.0,0.0,10.3,0.4,0.3,0.1,13.3,0.054,0.1,1.0,0.1
0.0,1.5,17.4,7.2,5.5,2.3,24.6,0.111,6.9,20.1,4.4
0.0,0.2,10.8,2.0,1.0,0.9,14.7,0.056,1.2,5.4,0.6
0.0,0.0,11.9,0.8,0.4,0.1,11.8,0.092,0.4,2.6,0.4
0.0,0.4,21.2,1.9,1.8,0.7,21.0,0.173,1.8,5.1,1.9
0.0,-0.2,10.3,1.6,1.0,0.1,20.9,0.027,0.1,4.6,1.2
0.0,-0.3,5.9,1.2,0.7,0.1,15.2,-0.015,-0.1,3.4,0.8
0.0,0.1,9.3,2.0,1.1,1.3,13.4,0.08,2.5,5.4,0.5
0.588,2.6,22.9,8.1,7.0,3.8,33.4,0.155,6.2,22.9,7.4
0.0,0.0,13.2,0.9,0.9,0.0,18.2,0.064,0.1,2.1,0.9
0.0,0.1,13.5,2.5,0.4,0.1,18.2,0.09,0.3,7.1,0.0
0.0,1.6,18.7,5.6,3.1,1.8,23.4,0.128,4.0,15.6,2.5
0.0,-0.1,8.9,1.9,1.9,0.1,16.2,0.05,0.1,5.4,1.9
0.0,0.0,7.3,1.0,1.0,0.0,17.9,0.056,0.0,2.0,0.0
0.0,-0.1,1.8,0.2,0.1,0.1,11.1,-0.059,-0.1,0.6,0.1
0.984,5.9,28.9,10.4,9.7,4.9,30.0,0.241,13.7,28.1,8.0
